DID,ShiftSeqNumber,Total_Income,Distance,Income_per_1Kdis,Rank
980568,1315,56953.01,10286324,5.536769987,3729
980586,965,47532.5,8926098,5.325115185,5378
980637,1144,75695,14664829,5.161669461,1932
980671,1069,73847,13682998,5.396989753,2482
980692,703,72875.5,12241388,5.953205633,4015
980704,639,21582.5,3600838,5.993743679,7422
980763,1386,57793,10141159,5.698855525,3531
980833,679,71857.5,11690002,6.146919393,4296
980836,763,92127,13985741,6.587209072,2256
980925,300,36128.17,5226863,6.912017782,7286
980934,757,80353.52,13166733,6.102768242,3187
981001,1110,89391.5,15177973,5.889554554,1258
981005,665,30630.5,5596841,5.472819399,6923
981010,1145,105821.51,18058778,5.859837803,459
981030,1206,58400.5,10635875,5.490897552,3855
981038,926,93235.5,15935720,5.850724034,1309
981075,107,12161,1660876,7.322039695,8290
981102,576,68988.01,10293331,6.702204563,4998
981147,939,44020,8328467,5.285486513,5672
981185,689,61668.5,9500832,6.490852591,5240
981287,1374,62323.01,10751934,5.796446481,3135
981299,896,89410,14597577,6.124989099,1887
981304,1312,60404.5,10190917,5.927287996,3579
981308,1041,78753.61,14482785,5.437739357,2100
981462,666,28403.5,4895138,5.802390045,7077
981465,1181,70872,13571119,5.222266491,2364
981538,1153,57298.5,10338698,5.542138865,4160
981584,1413,51073.55,8741345,5.842756464,4226
981586,195,17166.5,2718193,6.315408803,8076
981594,2288,103584,18733655,5.529300075,102
981723,1108,52555.02,9992744,5.259318161,4611
981763,866,53017,9800590,5.409572281,5166
981769,372,41759.5,6204664,6.730340273,6938
981770,1565,71550.5,12787145,5.595502358,1565
981816,1582,78182.5,14508473,5.388747665,941
981822,1219,52795.5,9114063,5.792751268,4550
981855,1016,103211.5,17340169,5.952162289,653
981865,1036,80400,13575547,5.922413292,2257
990089,1089,72098.02,14196836,5.078456918,2377
990127,1491,91637.55,18305787,5.00593337,412
990189,362,46549.5,7063973,6.589705255,6717
990318,1260,61950,11599283,5.340847361,3248
2000040,517,56924,8788166,6.477346923,5872
2000166,845,81492,13527529,6.024160066,2750
2000170,560,72245.5,11210883,6.444229237,4692
2000173,915,85428,15550023,5.493753932,1791
2000262,731,82302.17,12842038,6.4088091,3249
2000265,708,109728.51,17931947,6.11916319,807
2000309,941,59245.1,11576521,5.117694686,4295
2000315,1031,56836.5,10881860,5.223050104,4369
2000318,1313,61725.1,10962057,5.630795388,3290
2000352,1068,68578.01,13325087,5.146533752,2904
2000440,728,53899,11005694,4.897374032,5164
2000476,152,6548.5,1164263,5.624588259,8369
2000501,843,57814.5,12258181,4.716401234,4451
2000514,710,92478,14257869,6.486102516,2297
2000518,1025,94018.51,16242691,5.788357976,1047
2000532,944,79843.55,13963166,5.718155181,2424
2000574,61,3593,711616,5.049071409,8488
2000583,228,22049.5,3407451,6.470966127,7893
2001002,1072,68097.5,12861207,5.294798536,3053
2001029,410,19645.05,3559473,5.519089483,7731
2001051,805,86678.5,12895206,6.72176156,2753
2001322,1428,69865.54,12709521,5.497102527,2015
2001326,852,80648.45,13571030,5.942691896,2770
2001331,861,81588.5,12797002,6.375594846,2918
2001342,690,83639.5,13077310,6.395772525,3215
2001392,975,81218,14344993,5.661766444,2176
2001477,1059,54883.05,10536202,5.208997512,4479
2001519,707,95476.01,15736654,6.067109946,1770
2001533,1043,43579,7391256,5.89602092,5667
2001595,1237,59321,10978068,5.403591962,3631
2001658,1003,59753,10841797,5.511355728,4302
2001681,892,105912,17479138,6.059337709,716
2001682,752,85931.5,14407801,5.964234237,2497
2001689,749,68716.5,13577359,5.061109454,3732
2001702,1562,73829.01,13605514,5.426403589,1282
2001726,1689,90958.5,18382171,4.948191375,332
2001745,363,14895,2580565,5.771991792,7979
2001882,458,53310.62,8049276,6.623032929,6233
2001935,1204,91214.5,17568353,5.191977871,681
2001949,714,114108.5,18804752,6.068067263,592
2001954,961,68471.5,13402919,5.108700575,3204
2001964,964,67627.02,13251924,5.103185017,3291
2001972,588,72897,14315671,5.092111994,3747
2001979,962,47601.5,8661658,5.495656836,5439
2001986,602,52109,8262921,6.306365509,5974
2010032,879,35918.5,6255343,5.742051235,6394
2020018,850,89847.5,14067365,6.386945956,2132
2020061,669,99158.5,15693294,6.318526882,1688
2020069,1680,106458.5,19794771,5.37811223,196
2020071,813,83313,12932621,6.442081617,2920
2020096,578,34355,6237061,5.508203303,6863
2020157,711,64875.5,10340764,6.273762751,4872
2020174,845,89312.5,13643656,6.546082663,2273
2020187,735,94278.73,14751662,6.391058174,2021
2020223,641,31139.5,5595425,5.565171546,6946
2020234,235,10478.5,1830188,5.725368104,8217
2020311,1152,73764,13953546,5.286398167,2196
2020327,1040,52851.01,9539389,5.540292989,4859
2020342,808,87802,13807236,6.359129372,2403
2020373,929,51121.44,9520688,5.369511111,5170
2020454,517,62469.5,9239565,6.761086696,5614
2020511,879,61820,12995218,4.757134509,3920
2020566,1523,114145,22126164,5.158824639,149
2020585,1359,66426,12009270,5.531227127,2562
2020599,661,79351.02,11865917,6.687306173,3870
2020607,675,81420.1,12723460,6.399210592,3482
2020623,1265,73127,13723081,5.328759628,1998
2020663,1119,66856.5,12443890,5.372636692,3115
2020691,1345,66316.5,11962289,5.543796844,2615
2020749,973,65726.5,13007785,5.05285873,3439
2020754,1214,106406,21098547,5.043285682,294
2020756,761,75199.05,12574252,5.98039947,3630
2020761,1360,107376.44,20377010,5.269489488,262
2020787,451,19125.5,3376575,5.664171535,7715
2020795,804,82649,18328153,4.509401466,1519
2020830,1356,56188,9546482,5.885728376,3868
2020831,1419,57822.5,10101885,5.723931722,3447
2020851,166,20486.5,3026635,6.768738219,8006
2020864,657,67280,10156631,6.624243807,4931
2020886,727,78551,11796239,6.658986818,3754
2020936,928,46635,8734958,5.338892299,5525
2020948,1490,79244.5,15494299,5.114429507,896
2020969,847,93493,14927869,6.262983685,1711
2020990,1253,70276.1,13298411,5.284548658,2281
2021012,1022,52574,9160882,5.738967056,4981
2021023,495,59580.5,8746575,6.811866359,5835
2021041,1080,47306,8267951,5.721611074,5287
2021053,674,80319,12758228,6.295466737,3535
2021080,1577,70745,11673142,6.060493396,1845
2021088,1208,47698.5,7998637,5.963328502,5050
2021094,724,73555,11838497,6.213204261,4035
2021101,648,66298.05,11126742,5.958442283,4779
2021121,1314,62959.5,11656982,5.401012029,3001
2021133,305,13752,2428449,5.662873711,8059
2021165,1124,55621.5,10013232,5.554799889,4421
2021187,78,4132,749775,5.510986629,8464
2021233,794,62497,9779543,6.390584918,4919
2021286,1695,90991,16801364,5.41569125,399
2021335,691,27704.5,5035423,5.50192109,7047
2030046,1108,58590,11152514,5.253524004,3982
2030072,563,50863.9,11043445,4.605800092,5619
2030078,1270,68814.52,13103848,5.251474223,2359
2030092,699,68392,10577469,6.465818997,4696
2030110,95,8308.5,1862752,4.460336105,8339
2030111,1490,58748,10236159,5.739262159,3157
2030116,1434,67816.05,12665970,5.354193165,2120
2030151,989,50440,9392686,5.37013587,5104
2030176,802,37617.24,7055216,5.331833923,6345
2030177,757,66139.53,10530468,6.280777834,4675
2030221,587,28723,5123251,5.606401092,7131
2030224,956,52812.5,9585458,5.509648052,5028
2030272,1383,61910,10747325,5.760503195,3133
2030273,971,71930,13648523,5.270167329,2897
2030280,1493,68109.01,12685936,5.368859657,1936
2030301,650,64695.5,9234010,7.0062194,5255
2030338,1422,65252.01,11717041,5.568983671,2536
2030342,824,82992,14535907,5.709447646,2423
2030361,694,71671,11428443,6.271282974,4335
2030399,1270,58229.5,10468277,5.56247222,3737
2030404,154,8139,1540870,5.282080902,8317
2030413,600,79488,11469664,6.93028148,4156
2030436,449,44691,9411234,4.748686517,6305
2030453,842,76965.5,13635825,5.644359619,2979
2030462,744,74786.51,11904011,6.282463113,3877
2030465,827,94096.1,14672006,6.413308446,1800
2030472,1067,62187.5,11699752,5.315283606,3740
2030477,1204,76763,13593837,5.646897193,2006
2030484,1173,64481.5,11585064,5.565916597,3343
2030512,368,39327.5,5981939,6.574373293,7033
2030555,585,72970,11582210,6.300179327,4502
2030560,640,86467.33,13213110,6.544055866,3158
2030576,994,91545.5,15689151,5.834955633,1292
2030611,1778,114930.46,21744873,5.285404978,99
2030623,1020,71770.02,13775324,5.210042247,2721
2030633,806,80209,13973059,5.740260597,2805
2030649,1930,109751.5,19966673,5.496734484,124
2030681,921,81274.01,17549216,4.631204608,1497
2030690,1127,60511,11213994,5.396025716,3804
2030700,610,81143.5,13470879,6.023623254,3472
2030735,1390,52513,8420802,6.236104352,4305
2030750,753,96568.5,15927988,6.06281848,1563
2030790,1376,69448.5,12507219,5.55267322,2215
2030796,796,94087.5,14796906,6.358592803,1852
2030803,252,14395.5,2755129,5.224982206,8072
2030805,1232,110036,19873449,5.536834598,307
2030816,878,87546,19683100,4.447774995,924
2030845,1530,72217.5,13219931,5.462774352,1514
2030851,378,21156.5,4165715,5.07871998,7665
2030866,880,86213.5,14538824,5.929881261,2121
2030869,810,92512,13843639,6.682635975,2154
2030873,117,5197,859894,6.043768185,8425
2030922,656,86327,13186011,6.546862429,3123
2030929,202,22369.1,3465347,6.455082276,7912
2030945,605,85048,13905597,6.116098431,3137
2030970,1031,61925.5,11568662,5.352866217,3881
2030977,706,82548.99,13130547,6.28678988,3216
2030979,470,49081.5,8518517,5.761742331,6276
2031003,622,66037,10238496,6.449873106,5040
2031007,573,54764.6,8337952,6.56811169,5925
2031024,1191,65437.5,12309349,5.316081297,3028
2031070,1010,56423,10611052,5.317380407,4509
2031083,660,82680.62,12734173,6.492814257,3449
2031084,393,16873.55,2788655,6.050784339,7894
2031140,123,13362.5,2668263,5.007939622,8197
2040006,636,37835.01,7175665,5.272683438,6577
2040040,1035,71166.5,14437529,4.929271484,2522
2040051,1220,105992.54,20861282,5.080825809,302
2040090,565,30134.39,5775630,5.217507008,7052
2040144,656,91777,14994420,6.120743583,2280
2040168,859,76477.01,16265661,4.701746212,2209
2040176,313,35275.5,5197454,6.787073055,7295
2040178,662,72215,11946398,6.044918309,4250
2040180,1125,79925,14824424,5.391440504,1714
2040196,1447,65484.5,11250463,5.820604894,2579
2040209,903,52132,10080822,5.171403681,5065
2040231,562,81722.1,12970845,6.300445345,3700
2040237,1169,61276.5,11576109,5.293358934,3546
2040242,998,44182.5,7551997,5.850439294,5699
2040268,919,98391.5,15654757,6.28508638,1193
2040271,1022,98984.5,17707378,5.590014513,695
2040298,358,46393.5,7165346,6.47470478,6714
2040315,1366,54594.5,9270590,5.888999514,4012
2040340,944,88152,16080079,5.482062619,1477
2040358,288,33477.5,5645721,5.929712078,7313
2040409,785,47238.94,9235046,5.115181884,5668
2040414,678,70789.01,10952023,6.463555637,4545
2040447,1522,96783,18908957,5.118367978,331
2040448,1229,98157.5,20015749,4.904013335,398
2040460,779,86404.5,13308263,6.492545271,2716
2040461,273,14714,2842674,5.176112351,8027
2040463,704,79850,12970444,6.156304287,3415
2040485,716,70545,11227018,6.283502886,4393
2040487,1171,67014,12578927,5.32748143,2922
2040491,743,84589.5,13570736,6.233228618,2858
2040497,767,76187,12681870,6.007552514,3524
2040514,848,95862.61,15324966,6.25532285,1518
2040532,628,80672.5,12192119,6.616774328,3806
2040578,459,57456.5,10848711,5.296159147,5607
2040584,39,3972.5,548020,7.248823036,8496
2040606,871,49059.5,9742292,5.035724653,5339
2040630,855,66310.26,11895995,5.574166768,4056
2040634,564,73143.51,11178557,6.543197839,4641
2040639,501,40830,6623189,6.164704042,6747
2040667,673,58735,9706555,6.051065491,5356
2040691,554,63028,9256340,6.809170795,5520
2040694,1445,65571.5,11730269,5.589940009,2445
2040702,1102,79769.35,15385232,5.184799943,1648
2040704,1209,61035.02,11514174,5.300859619,3460
2040719,1396,63705.5,10836657,5.878704106,2961
2040732,746,80046.51,12538154,6.384234075,3405
2040735,534,59687,8764286,6.810252427,5760
2040753,546,76928,12092009,6.361887425,4269
2040757,644,80392,14053817,5.720296486,3256
2040760,1548,69130.5,12375967,5.585866543,1812
2040776,626,29945.5,5407248,5.538029696,7014
2040786,586,27885.01,5191976,5.370789464,7155
2040794,983,99657,16340785,6.098666619,917
2040825,829,81566,13433317,6.071918053,2819
2040829,947,90097.5,14567732,6.184730746,1720
2040833,738,43939.5,8793109,4.997038021,5940
2040852,677,43962.17,8525673,5.156445714,6084
2040870,1080,59357,11049395,5.371968329,4051
2040888,656,83233.5,12353957,6.737395961,3540
2040895,1274,103936,18774240,5.536096268,383
2050058,308,32289.17,5253033,6.14676702,7367
2050066,998,66257,12934844,5.122365604,3355
2050069,693,92304,14578875,6.331352728,2268
2050074,705,81061,13555251,5.980044191,3181
2050083,722,84367.5,12705853,6.640050062,3189
2050088,1096,62711,11728958,5.346681265,3624
2050089,369,20881,3959060,5.274231762,7706
2050091,1071,61771.51,12118207,5.097413338,3640
2050116,217,9706.5,1638849,5.922754323,8256
2050165,316,32263.5,4916632,6.562114065,7396
2050181,807,71209.5,11628887,6.123500899,3989
2050185,1013,53873,10157539,5.303745327,4739
2050188,855,42430,7522156,5.640670042,5998
2050201,691,77317,17066849,4.530244569,2388
2050210,1402,52098.5,8028128,6.489495434,4398
2050211,402,29108.5,5889521,4.942422312,7253
2050216,646,73589.5,11173450,6.586103665,4430
2050250,638,64208.5,9580133,6.702255595,5220
2050262,828,84125.5,13775189,6.107030546,2567
2050266,1134,69925,13692174,5.106931887,2523
2050307,1835,79406,14236639,5.577580495,619
2050308,649,72085.5,10886599,6.621489411,4567
2050313,558,45299.77,9520384,4.758187275,6068
2050347,1610,58762,8998261,6.530372924,3176
2050352,1467,59809,10194176,5.86697738,3180
2050357,765,89875,14152495,6.350470359,2324
2050368,588,68205.04,9828104,6.939796323,5114
2050381,1010,51043,9359557,5.453570078,5038
2050383,1288,62901.5,11572208,5.43556597,3101
2050404,803,80994.5,13622963,5.945439329,2873
2050406,320,12868,2142575,6.005857438,8088
2050410,1373,78359,14910752,5.255201079,1227
2050425,771,74099.27,12964302,5.715638991,3558
2050430,643,82673.14,12546066,6.589566801,3559
2050458,897,64867.52,12864377,5.042414413,3735
2050462,294,33071.5,6882381,4.805241093,7178
2050470,759,86738.1,13675444,6.342616737,2640
2050488,996,71351.5,12950900,5.509385448,3059
2050491,877,78356,13489477,5.808675903,2849
2050499,54,2996.5,590247,5.076688234,8503
2050501,894,69287.5,12245395,5.658249489,3671
2050518,557,92699.5,15563537,5.956197489,2346
2050519,888,48867,9449589,5.171336023,5368
2050533,1040,53849.5,9862880,5.459814983,4743
2050558,789,47739.5,9293313,5.136973219,5638
2050560,843,44700,7944432,5.62658224,5875
2050567,846,83467,12454530,6.701738243,2949
2050585,949,79544,13187410,6.031813677,2647
2050588,804,60779.5,12848780,4.730371288,4232
2050623,1015,80716,15084279,5.351001529,1897
2050649,905,87630.5,15419837,5.682971876,1741
2050650,1341,58173,10372279,5.60850706,3569
2050652,1309,77810.54,14786004,5.262445486,1391
2050658,816,78952.5,12117967,6.515325549,3390
2050660,2111,121388.5,22545395,5.384181559,34
2050707,1580,83032,15863530,5.234143977,639
2050710,468,54114.5,8167487,6.625599771,6160
2050712,312,34562,5956124,5.802767034,7227
2050739,757,72975,12186118,5.988371358,3866
2050744,633,74589,11199992,6.6597369,4408
2050747,500,47531.01,8299203,5.727177658,6312
2050752,729,65622.02,10037198,6.537882385,4868
2050760,986,40669.5,7221926,5.631392512,5886
2050792,843,75341.5,12416615,6.067797061,3435
2050793,683,39541.5,7597712,5.204395744,6375
2050808,53,6342.5,900842,7.040635317,8446
2050816,670,42606.5,8225597,5.179745616,6190
2050830,772,57955,10521660,5.50816126,4999
2050833,885,110342,18521554,5.957491472,532
2050852,939,50815.56,9440613,5.382654707,5180
2050860,614,73017.5,10581469,6.900506914,4678
2050895,831,82026.5,13637683,6.014694725,2719
2050896,694,34488,6384637,5.401716652,6687
2050901,938,68125.5,12010825,5.672008376,3683
2050921,842,85213.5,13512037,6.306488059,2545
2050927,1071,69503,13358058,5.203076675,2831
2050929,807,70470.5,12735182,5.533529085,3710
2050942,238,32488.5,5068222,6.410236174,7473
2050947,2069,106761.88,20156751,5.296581776,104
2050961,996,102922,19318857,5.327540858,507
2050981,699,79248.03,11905061,6.656667278,3760
2050984,307,35453.5,5086583,6.970003242,7305
2051032,1252,67581.66,12181099,5.548075752,2765
2051055,1080,91385,17597342,5.193113824,837
2051061,1201,60315,10924703,5.520973888,3689
2051064,1182,101689,17274087,5.88679448,533
2051087,725,80771.5,13206680,6.115957985,3247
2051088,1045,94531.5,16497095,5.730190679,960
2051094,1088,56750,10499985,5.404769626,4320
2051097,1061,98083,16228604,6.043834701,872
2051127,215,25722,5686211,4.523574662,7568
2051250,104,9174,1606485,5.710604207,8331
2051255,2,46.5,6642,7.000903342,8646
2051257,415,48046.5,7691207,6.246938874,6528
2051268,238,29030.5,4592806,6.320863542,7590
2051280,307,18583,3452700,5.382164683,7882
2051281,742,46810.5,8910111,5.253638254,5821
2051283,1757,77903,13243776,5.882234795,876
2051288,918,94102.02,15272702,6.161451981,1449
2051295,1869,80892,14561271,5.555284288,531
2051301,1088,67321,13112494,5.134111024,2977
2051308,955,57296.5,10638120,5.385961053,4598
2051309,1171,67118.5,12666529,5.298886538,2886
2051310,793,79423.5,13091248,6.066915851,3151
2051311,823,66632.01,13311310,5.005668864,3712
2051313,706,78439,12430247,6.310333174,3649
2051316,743,84042,14780153,5.686138702,2530
2051335,1076,73174,13535462,5.406095485,2549
2051338,1161,97680.95,18009526,5.423849023,553
2051343,1124,81661.05,16202518,5.040022174,1317
2051348,1156,82059.15,13337380,6.152568945,1924
2051352,1071,92576,16907251,5.475520533,913
2051364,739,72694.6,10651727,6.82467735,4370
2051365,1026,92534.11,16393295,5.64463154,1078
2051396,638,47688.5,9124141,5.226629005,5916
2051413,67,9201,1487100,6.187210006,8368
2051417,841,82043,13118837,6.253831799,2852
2051427,1172,44956,7119780,6.314240047,5434
2051437,728,75947.84,12532096,6.060266375,3691
2051447,947,88040.5,14613860,6.02445213,1815
2051458,816,47260.5,8588392,5.502834524,5726
2051469,899,88022.05,14818736,5.939916198,1892
2051474,305,20276.5,3697118,5.484407044,7817
2051495,753,114361.7,18532554,6.17085481,576
2051509,643,29872,5516909,5.414626197,6986
2051512,1227,52890.5,9566728,5.528588249,4415
2051532,698,33070.5,5880784,5.623484896,6787
2051559,1372,78890.5,14653447,5.383750322,1255
2051568,801,84905.5,13579186,6.252620739,2653
2051574,921,49385,9726154,5.077546582,5213
2051581,31,3119.5,485567,6.424448119,8519
2051587,1021,82852.02,14894291,5.562669616,1818
2051588,677,66028.5,10661784,6.193006724,4834
2051594,788,75478,12428588,6.072934431,3575
2051607,98,8568.5,1372070,6.244943771,8365
2051614,697,78225,11910332,6.567826993,3824
2051616,396,43341.74,7348157,5.898314366,6721
2051632,568,53514,11674429,4.583864444,5379
2051633,1015,58343,11081017,5.265130448,4274
2060024,1010,46676.5,8613978,5.418692734,5385
2060027,815,68642,11827182,5.803749363,4059
2060038,217,11866,2180487,5.441903575,8186
2060044,1367,74628,13861987,5.383643773,1630
2060069,1215,68146.5,13018240,5.234693783,2582
2060072,1509,63623,10811149,5.884943404,2631
2060088,1246,77963.5,15367937,5.073127252,1394
2060097,494,49831.51,7652209,6.51204247,6349
2060114,1027,68805.5,13273042,5.183853106,3027
2060115,1221,62064.5,10963784,5.660864898,3521
2060118,1691,81046,15376192,5.27087591,613
2060143,413,27594.5,5225393,5.280846819,7355
2060168,647,67376,10457433,6.442881346,4878
2060173,829,95574.5,15728308,6.076591328,1491
2060178,1152,74921,14555098,5.147406084,1985
2060180,939,47410.53,8911275,5.320285818,5442
2060181,1388,64451.5,11067861,5.823302262,2878
2060192,748,65883.5,10734190,6.137724411,4653
2060194,1674,72173,12758518,5.656848233,1291
2060215,183,8265.5,1456665,5.674262785,8296
2060216,675,43446,8552843,5.079714429,6098
2060227,390,22781.5,4083002,5.579595601,7622
2060229,1032,85068.5,17463210,4.871298003,1135
2060234,709,89695.5,13417025,6.685200333,2700
2060235,18,2776,652724,4.252946115,8524
2060243,834,74328.35,14715688,5.050959901,2842
2060263,385,38140.5,5839832,6.531095415,7068
2060268,678,83456,12406901,6.726579022,3448
2060269,472,47365,7423986,6.379995867,6501
2060275,699,90127.03,14792434,6.092778917,2305
2060279,1103,55956.5,10702187,5.228510771,4267
2060280,1031,88813.5,16182791,5.488144783,1238
2060364,393,32917.01,6740407,4.883534481,7076
2060404,594,73969.5,10855746,6.81385692,4616
2060442,273,25337,4245571,5.967866278,7677
2060446,709,43523.79,8627434,5.044812861,6026
2060458,887,123612,19958372,6.193491132,329
2060470,485,57193.5,10038938,5.697166374,5707
2060472,1335,92999.88,17284765,5.380453827,545
2060476,623,80262,11911199,6.738364459,3918
2060493,964,85546.5,13707490,6.2408581,2148
2060495,1166,78937.5,15695281,5.029377939,1476
2060515,741,88104.5,14288745,6.166006882,2441
2060530,839,94393.75,15561402,6.065889821,1551
2060531,40,1813.5,343172,5.284522047,8543
2060532,1115,80960,14892031,5.436464643,1679
2060534,1322,66187.5,12056199,5.489914359,2667
2060548,1007,94323.01,16181905,5.828918783,1088
2060553,1138,101162,16484410,6.136828676,661
2060558,1200,58054.5,10685901,5.432812825,3874
2060574,1412,75574.5,13998039,5.398934808,1457
2060580,1355,77032,15047560,5.119235278,1276
2060585,1250,66386,11886547,5.584969293,2930
2060590,1341,69915,13202180,5.295716314,2111
2060595,888,89946.05,16569593,5.428380166,1392
2060618,1208,53914.03,9909165,5.440824731,4313
2060624,1346,68533,12676155,5.406450142,2291
2060626,944,73194,12726086,5.751493429,3185
2060635,1048,58658,11950998,4.90820934,3916
2060648,364,25171.5,4808451,5.234845899,7510
2060652,1216,82989.5,15691141,5.288939791,1200
2060654,710,61404.6,10407188,5.900210508,5008
2060664,434,46030.5,6826991,6.742428692,6666
2060672,889,68900.5,14158220,4.866466265,3174
2060677,1472,64804.5,11396402,5.686399971,2509
2060681,1548,68568,11371696,6.029707442,2125
2060682,1101,60507.72,11337149,5.337119588,3839
2060685,1360,65419,12313681,5.312708686,2531
2060698,639,70375.5,9869120,7.130878944,4903
2060706,1257,74911.85,15086634,4.96544491,1583
2060713,165,14135,2955034,4.783362899,8125
2060721,383,45190.5,7246948,6.23579747,6702
2060727,865,42990.5,7712805,5.573912474,5941
2060728,882,96357,16553114,5.821079949,1166
2060733,408,50955.5,9705407,5.250217739,6105
2060763,746,31744.51,5679037,5.589769885,6786
2060764,1484,61866.5,10301208,6.005751947,2966
2060777,824,75981.5,12945906,5.869152765,3304
2060781,1059,69021,13519359,5.105345601,2848
2060787,1015,93530,16013454,5.84071369,1128
2060812,852,89838.5,14340101,6.264844299,2061
2060813,776,90335.5,14259513,6.335104151,2241
2060845,1425,72671.5,13841564,5.250237618,1592
2060851,753,79101.5,16648432,4.751288289,2250
2060870,1274,71086.5,14132295,5.030074733,1978
2060881,874,93855.5,14268990,6.577585379,1798
2060920,648,40466.5,7834735,5.165011963,6368
2060923,661,81018.51,12839851,6.309926026,3507
2060964,1827,89354.11,16286397,5.48642588,374
2060975,1170,79948,16005254,4.995109731,1338
2060977,285,13678,2730486,5.009364633,8045
2060993,1678,104738.81,20791151,5.037662898,183
2060994,1175,54322,9898800,5.487735887,4383
2060995,1334,58625,11355703,5.1626042,3292
